step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,OOD_Accuracy,OOD_Loss
7600,0.14606225094757974,0.14815830196588398,0.14606225094757974,0.239558496241242,0.14606225094757974,0.193938939133659,5.90207576751709,393.10357666015625,NaN,-0.01,0.05091791972517967,0.031380000000000005,111.37381744384766,109.7522382736206,1.6215812226291746,0.02049986831843853,-3619.41650390625,23.602620382458184,0.00017224570831800293,99.8369369506836,0.0498046875,NaN,NaN
7800,0.1420998170506209,0.14449926228783827,0.1420998170506209,0.23251973276912208,0.1420998170506209,0.18699534889310598,6.179986476898193,449.03680419921875,NaN,-0.01,0.052395232021808624,0.03089,113.7007064819336,112.01361274719238,1.6870963766705245,0.019993584603071213,-3619.41650390625,27.447210281907434,0.00019518600980941833,99.82540130615234,0.0498046875,NaN,NaN
8000,0.14087825105525553,0.14154851641301275,0.14087825105525553,0.228599348089868,0.14087825105525553,0.18434336222708225,6.279788017272949,451.5218811035156,NaN,-0.01,0.05397922173142433,0.0304,119.29656982421875,117.58574295043945,1.7108252106700093,0.01958530955016613,-3619.41650390625,27.495190177752924,0.00016724439332847533,99.80670928955078,0.0498046875,NaN,NaN
8200,0.14001694764010608,0.14195247578238682,0.14001694764010608,0.22949370855733278,0.14001694764010608,0.1835958370938897,9.563262939453125,14609.666015625,NaN,-0.01,0.05523230880498886,0.029910000000000003,144.41466617584229,141.8838348388672,2.5308327123057097,0.019641200080513954,-3619.41650390625,35.9999928080272,0.00019706213229343534,99.85338592529297,0.0498046875,NaN,NaN
8400,0.1376283122226596,0.1387225244313885,0.1376283122226596,0.22289050607714905,0.1376283122226596,0.17879664339125156,9.91698932647705,20691.61328125,NaN,-0.01,0.05731424689292908,0.02942,152.17373085021973,149.5568561553955,2.6168757481500506,0.019194286316633224,-3619.41650390625,38.00025231654618,0.00021977324525899422,99.82087707519531,0.0498046875,NaN,NaN
8600,0.1335546316113323,0.13484845852969096,0.1335546316113323,0.21671489842165273,0.1335546316113323,0.17222409509122372,9.41910457611084,12508.91015625,NaN,-0.01,0.059707753360271454,0.02893,144.7091293334961,142.22080039978027,2.4883307905402035,0.01865825243294239,-3619.41650390625,32.61163056740807,0.00021674904330134105,99.82008361816406,0.0498046875,NaN,NaN
8800,0.12906495272181928,0.1308123242185831,0.12906495272181928,0.20953678580783822,0.12906495272181928,0.16498450795188546,9.372770309448242,11852.2275390625,NaN,-0.01,0.062247857451438904,0.028440000000000003,144.39863967895508,141.9263801574707,2.4722574406769127,0.018099792301654816,-3619.41650390625,33.58217563858617,0.000202975231740789,99.8384017944336,0.0498046875,NaN,NaN
9000,0.12666747928597033,0.12775161311966163,0.12666747928597033,0.2047621660337447,0.12666747928597033,0.1609174869954586,8.310345649719238,3989.612060546875,NaN,-0.01,0.06475047767162323,0.027950000000000003,135.0506935119629,132.846435546875,2.204253928968683,0.017676303163170815,-3619.41650390625,35.635200515780696,0.00018644434830747858,99.83675384521484,0.0498046875,NaN,NaN
9200,0.12251138710416853,0.12488156322837267,0.12251138710416853,0.2008207580251731,0.12251138710416853,0.15507763403002173,9.348095893859863,11623.087890625,NaN,-0.01,0.06736160814762115,0.027460000000000002,139.0154848098755,136.55594635009766,2.4595354723278433,0.017279189079999924,-3619.41650390625,37.38161635413513,0.00018106103639988486,99.86369323730469,0.0498046875,NaN,NaN
9400,0.12098144879564643,0.12221904900073519,0.12098144879564643,0.19479591871783294,0.12098144879564643,0.15179087105207145,2.215348482131958,4.840599060058594,NaN,-0.01,0.0701272115111351,0.026970000000000004,80.67092704772949,79.99610710144043,0.6748185618780553,0.016910789534449577,-3619.41650390625,17.301533925144888,0.00018147008768352774,99.8380355834961,0.0498046875,NaN,NaN
9600,0.1173436027020216,0.11937908558638705,0.1173436027020216,0.19069736877769614,0.1173436027020216,0.14660731435287744,8.34300422668457,4322.6923828125,NaN,-0.01,0.07313339412212372,0.026480000000000004,133.2209529876709,131.0178575515747,2.203094718977809,0.016517838463187218,-3619.41650390625,34.790014696340954,0.00018150778985200053,99.8570327758789,0.0498046875,NaN,NaN
9800,0.11479250306729227,0.11669215259754806,0.11479250306729227,0.18610747689348967,0.11479250306729227,0.14259598206263036,5.525296211242676,279.86907958984375,NaN,-0.01,0.07631745934486389,0.025990000000000003,107.18431758880615,105.68820190429688,1.4961165260756388,0.016146061941981316,-3619.41650390625,24.366567918228903,0.00018138450444732276,99.86117553710938,0.0498046875,NaN,NaN
10000,0.11172918253578246,0.11329892308990128,0.11172918253578246,0.1788463225529127,0.11172918253578246,0.13744273129850626,7.987325191497803,2999.600830078125,NaN,-0.01,0.07982034236192703,0.025500000000000002,132.13798141479492,130.02942276000977,2.108560391003266,0.015676556155085564,-3619.41650390625,35.29502259707033,0.00018929677908774247,99.82967376708984,0.0498046875,NaN,NaN
10200,0.11191743751987815,0.11305894795787017,0.11191743751987815,0.17993765222342273,0.11191743751987815,0.1379014749545604,9.592477798461914,14850.5869140625,NaN,-0.01,0.0830332487821579,0.02501,146.93581008911133,144.42577362060547,2.51003680517897,0.015643352642655373,-3619.41650390625,42.5183090105684,0.00018380132876202017,99.82435607910156,0.0498046875,NaN,NaN
10400,0.10641089850105345,0.10883784937494255,0.10641089850105345,0.1714381834096443,0.10641089850105345,0.12980188732035458,9.750330924987793,17372.2265625,NaN,-0.01,0.08755478262901306,0.02452,148.44396305084229,145.89996814727783,2.5439937042538077,0.015059296041727066,-3619.41650390625,34.27261497544407,0.00022437491441865503,99.82672119140625,0.0498046875,NaN,NaN
10600,0.10390757885761559,0.10527471240638117,0.10390757885761559,0.1661985862467946,0.10390757885761559,0.12588842888362706,7.940232753753662,2890.03564453125,NaN,-0.01,0.092372365295887,0.02403,132.46515464782715,130.37619018554688,2.0889657225925475,0.014566288329660892,-3619.41650390625,34.73192459164152,0.00018799659298416064,99.83477783203125,0.0498046875,NaN,NaN
10800,0.09920857625547796,0.10209085632053067,0.09920857625547796,0.158897236458431,0.09920857625547796,0.11916224425658584,4.39471435546875,68.26708984375,NaN,-0.01,0.09700522571802139,0.02354,96.7979326248169,95.60004711151123,1.197887209826149,0.014125753194093704,-3619.41650390625,25.043683034428632,0.00020261613373631158,99.84220123291016,0.0498046875,NaN,NaN
11000,0.09701048536226153,0.09862052935737561,0.09701048536226153,0.15473137918249594,0.09701048536226153,0.11591257445979863,8.441551208496094,4722.18359375,NaN,-0.01,0.10260117799043655,0.02305,135.21901988983154,133.01161766052246,2.2073982949368656,0.013645580038428307,-3619.41650390625,36.44924841563709,0.00021590291579586334,99.84458923339844,0.0498046875,NaN,NaN
11200,0.09593514166772366,0.09634587420088772,0.09593514166772366,0.15094853570474565,0.09593514166772366,0.11401452589780092,8.863081932067871,7173.33740234375,NaN,-0.01,0.10951056331396103,0.02256,142.64034843444824,140.32864379882812,2.311705617234111,0.013330826535820961,-3619.41650390625,42.89713156020267,0.00031661062701064945,99.82415771484375,0.0498046875,NaN,NaN
11400,0.09209806856233627,0.0939293344801735,0.09209806856233627,0.14665541671794857,0.09209806856233627,0.1089810982812196,3.668285369873047,45.060768127441406,NaN,-0.01,0.12772147357463837,0.022070000000000003,89.79095363616943,88.78178310394287,1.0091694184811786,0.01299570593982935,-3619.41650390625,22.801400845764952,0.0015509075608921739,99.8456802368164,0.0498046875,NaN,NaN
11600,0.09018324292264879,0.09154585890641326,0.09018324292264879,0.14200878030091346,0.09018324292264879,0.10605818731710315,9.439894676208496,12702.9765625,NaN,-0.01,0.19999918341636658,0.021580000000000002,147.41365432739258,144.9635009765625,2.450156800216064,0.012666703201830387,-3619.41650390625,43.99827666320792,0.00090544473993667,99.84142303466797,0.0498046875,NaN,NaN
11800,0.0877372776158154,0.08926120859796252,0.0877372776158154,0.1382518353513564,0.0877372776158154,0.10273021878674626,5.126245498657227,151.94305419921875,NaN,-0.01,0.19999919831752777,0.021090000000000005,105.438232421875,104.06893348693848,1.3692986820824444,0.0123505974188447,-3619.41650390625,25.685078340478736,4.42978541031542e-05,99.8348617553711,0.0498046875,NaN,NaN
12000,0.08647651504725218,0.08726874051947746,0.08647651504725218,0.1341157516729198,0.08647651504725218,0.10067368531599641,7.055817604064941,1200.3680419921875,NaN,-0.01,0.19999918341636658,0.020600000000000004,127.56529808044434,125.71486473083496,1.8504309235140681,0.01207491010427475,-3619.41650390625,36.95428051297613,5.2557614395218666e-05,99.81231689453125,0.0498046875,NaN,NaN
12200,0.08521443069912493,0.08636948199324072,0.08521443069912493,0.13282528389740308,0.08521443069912493,0.09908203012309968,8.816631317138672,6844.916015625,NaN,-0.01,0.19999918341636658,0.020110000000000003,139.8925552368164,137.60318565368652,2.2893721780274063,0.011950484476983547,-3619.41650390625,40.29064456312242,5.503829365734988e-05,99.83552551269531,0.0498046875,NaN,NaN
12400,0.08231651526875794,0.08332754450678814,0.08231651526875794,0.1273093454007931,0.08231651526875794,0.09505866933614016,8.411674499511719,4581.421875,NaN,-0.01,0.19999918341636658,0.019620000000000002,138.79751205444336,136.61227416992188,2.1852352146524936,0.011529587209224701,-3619.41650390625,41.82793360911071,6.485005553013351e-05,99.83863067626953,0.0498046875,NaN,NaN
12600,0.07821697776671499,0.08020534009467424,0.07821697776671499,0.12250599227507851,0.07821697776671499,0.0898788896156475,9.308832168579102,11163.8076171875,NaN,-0.01,0.19999916851520538,0.01913,143.96038722991943,141.5549602508545,2.405424967757426,0.01109758485108614,-3619.41650390625,45.227591943070614,6.80361237937658e-05,99.85692596435547,0.0498046875,NaN,NaN
12800,0.0761418272741139,0.07712702280329362,0.0761418272741139,0.11494771838243113,0.0761418272741139,0.08657922386191785,8.380178451538086,4439.6884765625,NaN,-0.01,0.1999991536140442,0.018640000000000004,140.50313186645508,138.33194160461426,2.171186432708055,0.010671654716134071,-3619.41650390625,41.38572375439179,7.625500900376969e-05,99.8069076538086,0.0498046875,NaN,NaN
13000,0.07284263242036104,0.07402120850210774,0.07284263242036104,0.11178536932347741,0.07284263242036104,0.08258743863552809,6.430170059204102,654.6006469726562,NaN,-0.01,0.1999991536140442,0.01815,118.46387672424316,116.78349304199219,1.6803851099684834,0.010241919197142124,-3619.41650390625,33.3995703329311,8.354773990108149e-05,99.82598114013672,0.0498046875,NaN,NaN
13200,0.07022472936660051,0.0710333415139741,0.07022472936660051,0.10667561555912015,0.07022472936660051,0.07911760988645256,8.553460121154785,5269.16015625,NaN,-0.01,0.1999991238117218,0.017660000000000002,141.31317520141602,139.10458755493164,2.2085898043587804,0.009828505106270313,-3619.41650390625,41.79074431914064,9.008555385335167e-05,99.84656524658203,0.0498046875,NaN,NaN
13400,0.06732962268870324,0.06882473093265748,0.06732962268870324,0.10313930716666768,0.06732962268870324,0.07557533355429769,6.434850692749023,653.4183959960938,NaN,-0.01,0.1999991238117218,0.017169999999999998,118.1874942779541,116.51145362854004,1.6760422996012494,0.009522911161184311,-3619.41650390625,30.411622790417276,0.00010168878629304674,99.86091613769531,0.0498046875,NaN,NaN
13600,0.06516556837595999,0.06689244849125196,0.06516556837595999,0.10065289428356486,0.06516556837595999,0.07296278432477266,9.268007278442383,10720.2802734375,NaN,-0.01,0.19999909400939941,0.01668,140.77771091461182,138.39554500579834,2.382167503470555,0.009255550801753998,-3619.41650390625,46.096389262158965,0.00011981922441019438,99.86740112304688,0.0498046875,NaN,NaN
13800,0.06338487169705331,0.0644169242605056,0.06338487169705331,0.09529986548979828,0.06338487169705331,0.07046127994544804,0.6494583487510681,2.365772247314453,NaN,-0.01,0.19999906420707703,0.016190000000000003,64.97623443603516,64.75048446655273,0.22574945143423975,0.008913026191294193,-3619.41650390625,14.223863369096573,0.00013549556963918523,99.83736419677734,0.0498046875,NaN,NaN
14000,0.06008313759230077,0.06172621520276586,0.06008313759230077,0.08890207322575314,0.06008313759230077,0.06627156096510589,7.522752285003662,1802.7103271484375,NaN,-0.01,0.19999903440475464,0.015700000000000006,130.16992568969727,128.22915649414062,1.940771205117926,0.008540727198123932,-3619.41650390625,43.093882626570704,0.00015115072166323225,99.82666015625,0.0498046875,NaN,NaN
14200,0.058817429933696985,0.06002562058738124,0.058817429933696985,0.08753207914341792,0.058817429933696985,0.06478771683759987,6.806058406829834,936.6354370117188,NaN,-0.01,0.19999900460243225,0.015210000000000001,121.89698219299316,120.13665199279785,1.7603319943882525,0.008305424824357033,-3619.41650390625,37.561387436322164,0.00018013083791954188,99.83675384521484,0.0498046875,NaN,NaN
14400,0.05508839851245284,0.057465504640188785,0.05508839851245284,0.08174474796163068,0.05508839851245284,0.06028011557646096,6.868241310119629,925.7506713867188,NaN,-0.01,0.19999897480010986,0.014720000000000004,120.46304130554199,118.69089317321777,1.772148699965328,0.007951193489134312,-3619.41650390625,41.26259558504944,0.00020992310796543316,99.8378677368164,0.0498046875,NaN,NaN
